 * Serving Flask app "__main__" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:7000/ (Press CTRL+C to quit)
127.0.0.1 - - [07/Jun/2018 14:29:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:29:45] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:30:21] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:30:26] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:30:36] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:30:45] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:31:02] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:31:07] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:31:17] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:32:44] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:04] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:05] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:06] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:13] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:43] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:48] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:33:49] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:34:22] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:35:46] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:36:31] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:36:38] "POST /v1/phone/token HTTP/1.0" 200 -
127.0.0.1 - - [07/Jun/2018 14:36:59] "POST /v1/phone/token HTTP/1.0" 200 -
